Engineering Strain 1,Engineering Stress 1 (MPa),Displacement (mm),Force (N),Engineering Strain 2,Engineering Stress 2 (MPa)
,,3.125,8754.836,0.1227415554,976.012932
,,3.127,8753.578,0.12282011,975.8726867
,,3.146,8752.416,0.1235663786,975.7431438
,,3.149,8750.069,0.1236842105,975.4814939
,,3.161,8750.116,0.1241555381,975.4867336
,,3.172,8748.424,0.1245875884,975.2981048
,,3.176,8746.723,0.1247446976,975.1084727
,,3.194,8745.986,0.1254516889,975.0263099
,,3.201,8743.642,0.12572663,974.7649944
,,3.210,8742.327,0.1260801257,974.6183946
,,3.222,8740.395,0.1265514533,974.40301
,,3.228,8739.729,0.126787117,974.3287625
,,3.241,8736.350,0.1272977219,973.9520624
,,3.253,8734.838,0.1277690495,973.7835006
,,3.261,8733.605,0.1280832679,973.6460424
,,3.271,8731.258,0.1284760408,973.3843924
,,3.280,8728.540,0.1288295365,973.0813824
,,3.289,8726.529,0.1291830322,972.8571906
,,3.301,8724.280,0.1296543598,972.606466
,,3.308,8720.611,0.1299293009,972.1974359
,,3.319,8718.562,0.1303613511,971.9690078
,,3.329,8715.727,0.1307541241,971.6529543
,,3.338,8711.928,0.1311076198,971.2294314
,,3.352,8709.236,0.131657502,970.92932
,,3.355,8706.458,0.1317753339,970.619621
,,3.371,8702.381,0.1324037706,970.1651059
,,3.377,8699.094,0.1326394344,969.7986622
,,3.386,8695.442,0.1329929301,969.3915273
,,3.402,8690.614,0.1336213668,968.8532887
,,3.408,8686.831,0.1338570306,968.4315496
,,3.420,8681.621,0.1343283582,967.8507246
,,3.432,8678.690,0.1347996858,967.5239688
,,3.436,8674.013,0.134956795,967.0025641
,,3.448,8669.668,0.1354281225,966.5181717
,,3.457,8663.768,0.1357816182,965.8604236
,,3.467,8658.008,0.1361743912,965.2182832
,,3.481,8653.911,0.1367242734,964.7615385
,,3.494,8646.436,0.1372348782,963.9282051
,,3.502,8641.858,0.1375490966,963.4178372
,,3.512,8635.966,0.1379418696,962.760981
,,3.521,8629.922,0.1382953653,962.0871795
,,3.530,8623.775,0.138648861,961.4018952
,,3.539,8616.882,0.1390023566,960.6334448
,,3.554,8608.853,0.1395915161,959.7383501
,,3.561,8602.341,0.1398664572,959.0123746
,,3.570,8595.703,0.1402199529,958.2723523
,,3.585,8587.640,0.1408091123,957.3734671
,,3.590,8580.897,0.1410054988,956.6217391
,,3.603,8573.835,0.1415161037,955.8344482
